"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Foxi1"	"4.88888888888889"	"2.49333333333333"
"2"	"Fam221a"	"4.23809523809524"	"0.296666666666667"
"3"	"Cpsf4l"	"3.92857142857143"	"0.275"
"4"	"Them5"	"3.83333333333333"	"0.0383333333333333"
"5"	"Syn2"	"3.5"	"0.63"
"6"	"Insrr"	"3.20512820512821"	"0.416666666666667"
"7"	"Hmx2"	"3.07407407407407"	"1.10666666666667"
"8"	"Stap1"	"3.07291666666667"	"0.491666666666667"
"9"	"Klkb1"	"3.04166666666667"	"0.243333333333333"
"10"	"Sult2a3"	"3.04166666666667"	"0.121666666666667"
"11"	"Aldh1l2"	"2.64285714285714"	"0.185"
"12"	"Aldh1l1"	"2.60297239915074"	"4.08666666666667"
"13"	"Tmem52"	"2.36111111111111"	"0.141666666666667"
"14"	"Atp6v1e1"	"2.13078149920255"	"4.45333333333333"
"15"	"Cox7a1"	"2.11666666666667"	"0.846666666666667"
"16"	"Atp6v1h"	"2.06024096385542"	"1.71"
"17"	"Atp6v1c2"	"18.225"	"3.645"
"18"	"Atp6v0d2"	"10.5892857142857"	"5.93"
"19"	"Atp6v1g3"	"10.3585526315789"	"15.745"
"20"	"Dmxl1"	"1.96598639455782"	"0.963333333333333"
