"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Pvalb"	"3.42857142857143"	"0.411428571428571"
"2"	"Klhl3"	"2.8130081300813"	"1.15333333333333"
"3"	"Slc12a3"	"10.3921568627451"	"8.83333333333333"
"4"	"Trpm6"	"1.96560846560847"	"0.353809523809524"
"5"	"Kcns1"	"1.76190476190476"	"0.0176190476190476"
"6"	"Trpm7"	"1.55908289241623"	"0.841904761904762"
"7"	"Abca13"	"1.39751552795031"	"1.60714285714286"
"8"	"D7Ertd443e"	"1.33333333333333"	"0.0266666666666667"
"9"	"Tyr"	"1.23809523809524"	"0.0123809523809524"
"10"	"Ptgfr"	"1.21428571428571"	"0.825714285714286"
