"add_genes"	"add_genes_ratio"	"add_genes_mean"
"1"	"Cldn16"	"4.25925925925926"	"0.383333333333333"
"2"	"Slc12a1"	"3.83343640486498"	"8.85523809523809"
"3"	"Pappa2"	"2.74285714285714"	"0.137142857142857"
"4"	"Shd"	"1.72619047619048"	"0.276190476190476"
"5"	"Cldn14"	"1.47619047619048"	"0.0147619047619048"
"6"	"Umod"	"1.4758249426777"	"21.1485714285714"
"7"	"Ighv14-2"	"1.42857142857143"	"0.0142857142857143"
"8"	"Lrit3"	"1.42857142857143"	"0.0142857142857143"
"9"	"Wnt10a"	"1.38095238095238"	"0.0966666666666667"
"10"	"Olfr291"	"1.33333333333333"	"0.0133333333333333"
"11"	"Trpc5"	"1.33333333333333"	"0.0133333333333333"
"12"	"Ccdc27"	"1.23809523809524"	"0.0123809523809524"
"13"	"Prlh"	"1.23809523809524"	"0.0123809523809524"
